Empresas com Registro no SND (*)- Gerado em 20/10/2019 01:42:46

Código do Ativo	Empresa        	Série	Emissão	IPO	Situação	ISIN	Registro CVM da Emissão	Data de Registro CVM da Emissão	Registro CVM do Programa	Data de Registro CVM do Programa	Data de Emissão	 Data de Vencimento	Motivo de Saída 	Data de Saída / Novo Vencimento	 Data do Início da Rentabilidade	Data do Início da Distribuição	Data da Próxima Repactuação	Ato Societário (1)	Data do Ato (1)	Ato Societário (2)	Data do Ato (2)	Forma	Garantia/Espécie	Classe	Quantidade Emitida	Artigo 14º	Artigo 24º	Quantidade em Mercado	Quantidade em Tesouraria	Quantidade Resgatada	Quantidade  Cancelada	Quantidade Convertida no SND	Quantidade Convertida fora do SND	Quantidade Permutada no SND	Quantidade Permutada fora do SND	Unidade Monetária	Valor Nominal na Emissão	Unidade Monetária	Valor Nominal Atual	Data Últ. VNA	Índice	Tipo	Critério de Cálculo	Dia de Referência para Índice de Preços	Critério para Índice	Corrige a cada	Percentual Multiplicador/Rentabilidade	Limite da TJLP	Tipo de Tratamento do Limite da TJLP	Juros Critério Antigo do SND	Prêmios Critério Antigo do SND	Amortização - Taxa	Amortização - Cada	Amortização - Unidade	Amortização - Carência	Amortização - Critério	Tipo de Amortização	Juros Critério Novo - Taxa	Juros Critério Novo - Prazo	Juros Critério Novo - Cada	Juros Critério Novo - Unidade	Juros Critério Novo - Carência	Juros Critério Novo - Critério	Juros Critério Novo - Tipo	Prêmio Critério Novo - Taxa	Prêmio Critério Novo - Prazo	Prêmio Critério Novo - Cada	Prêmio Critério Novo - Unidade	Prêmio Critério Novo - Carência	Prêmio Critério Novo - Critério	Prêmio Critério Novo - Tipo	Participação - Taxa	Participação - Cada	Participação - Unidade	Participação - Carência	Participação - Descrição	Rating1	Agência Classificadora	Rating2	Agência Classificadora	Rating3	Agência Classificadora	Banco Mandatário	Agente Fiduciário	Instituição Depositária	Coordenador Líder	CNPJ	Deb. Incent. (Lei 12.431)	Escritura Padronizada	Resgate Antecipado
AALR11    	CENTRO DE IMAGEM DIAGNOSTICOS S/A	 001	 001	 -	Registrado	BRAALRDBS008	DISPENSA ICVM 476/09	13/10/2017			01/09/2017	01/09/2020		01/09/2020	16/10/2017	16/10/2017	 -	RCA	21/07/2017	RCA	01/08/2017	Escritural	Quirografária	Simples	16850			000000001107	000000015743	000000000000			000000000000		000000000000	R$	10000	R$	10000	18/10/2019	DI		Padrão - SND		-		116	0	 - 	 -		 - 	 - 		 - 	 -	 - 			0006	MES	01/03/2018	 - 	 - 		-				 - 	 -	0		 -									ITAU UNIBANCO S.A.	PENTAGONO S/A DTVM	ITAU CV S/A	BANCO ITAU-BBA S/A	42771949001883	N		S
AALR12    	CENTRO DE IMAGEM DIAGNOSTICOS S/A	 001	 002	 -	Registrado	BRAALRDBS024	DISPENSA ICVM 476/09	16/08/2019			15/07/2019	15/07/2025		15/07/2025	19/08/2019	19/08/2019	 -	RCA	09/07/2019	RCA	25/07/2019	Escritural	Quirografária	Simples	15743			000000015743	000000000000	000000000000			000000000000		000000000000	R$	10000	R$	10000	18/10/2019	DI		Padrão - SND		-		100	0	 - 	 -		 - 	0012	MES	15/07/2022	 -	Percentual variável sobre o valor nominal atualizado em períodos uniformes	1,1	252	0006	MES	15/01/2020	Útil	Exponencial		-				 - 	 -	0		 -									BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	XP INVESTIMENTOS CCTVM S/A	42771949001883	N		S
AALR21    	CENTRO DE IMAGEM DIAGNOSTICOS S/A	 002	 001	 -	Registrado	BRAALRDBS016	DISPENSA ICVM 476/09	13/10/2017			01/09/2017	01/09/2022		01/09/2022	16/10/2017	16/10/2017	 -	RCA	21/07/2017	RCA	01/08/2017	Escritural	Quirografária	Simples	10150			000000000147	000000010003	000000000000			000000000000		000000000000	R$	10000	R$	10000	18/10/2019	DI		Padrão - SND		-		118	0	 - 	 -		50	0012	MES	01/09/2021	 -	Percentual fixo sobre o valor nominal de emissão em períodos uniformes			0006	MES	01/03/2018	 - 	 - 		-				 - 	 -	0		 -									ITAU UNIBANCO S.A.	PENTAGONO S/A DTVM	ITAU CV S/A	BANCO ITAU-BBA S/A	42771949001883	N		S
AALR22    	CENTRO DE IMAGEM DIAGNOSTICOS S/A	 002	 002	 -	Registrado	BRAALRDBS032	DISPENSA ICVM 476/09	15/08/2019			15/07/2019	15/07/2025		15/07/2025	16/08/2019	16/08/2019	 -	RCA	09/07/2019	RCA	25/07/2019	Escritural	Quirografária	Simples	10003			000000010003	000000000000	000000000000			000000000000		000000000000	R$	10000	R$	10000	18/10/2019	DI		Padrão - SND		-		100	0	 - 	 -		 - 	0012	MES	15/07/2022	 -	Percentual variável sobre o valor nominal atualizado em períodos uniformes	1,1	252	0006	MES	15/01/2020	Útil	Exponencial		-				 - 	 -	0		 -									BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	XP INVESTIMENTOS CCTVM S/A	42771949001883	N		S
AALR32    	CENTRO DE IMAGEM DIAGNOSTICOS S/A	 003	 002	 -	Registrado	BRAALRDBS040	DISPENSA ICVM 476/09	14/08/2019			15/07/2019	15/07/2025		15/07/2025	15/08/2019	15/08/2019	 -	RCA	09/07/2019	RCA	25/07/2019	Escritural	Quirografária	Simples	9254			000000009254	000000000000	000000000000			000000000000		000000000000	R$	10000	R$	10000	18/10/2019	DI		Padrão - SND		-		100	0	 - 	 -		 - 	0012	MES	15/07/2022	 -	Percentual variável sobre o valor nominal atualizado em períodos uniformes	1,1	252	0006	MES	15/01/2020	Útil	Exponencial		-				 - 	 -	0		 -									BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	XP INVESTIMENTOS CCTVM S/A	42771949001883	N		S
AARJ11    	AQUA-RIO AQUARIO MARINHO DO RIO DE JANEIRO S/A	 UNI	 001	 -	Registrado	BRAARJDBS002	DISPENSA ICVM 476/09	15/01/2015			08/12/2014	08/12/2021		08/12/2021	08/12/2014	16/01/2015	 -	AGE	21/11/2014	RCA	21/11/2014	Escritural	Real	Simples	500			000000000500	000000000000	000000000000			000000000000		000000000000	R$	100000	R$	42857,2	18/10/2019	DI		Padrão - SND		-		100	0	 - 	 -		4.7619	0003	MES	08/12/2016	 -	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	3	252	0003	MES	08/03/2015	Útil	Exponencial		-				 - 	 -	0		 -									ITAU UNIBANCO S.A.	PLANNER TRUSTEE DTVM LTDA	ITAU CV S/A		19624745000150	N	n	S
ABC11     	PARTICIPACOES ABC S/A	 001	 001	Não	Excluído	BRPTABDBS011	SEP/GER/DEB - 95/046	19/07/1995			23/05/1995	23/05/2012	15/10/2003 - VENCIMENTO ANTECIPADO		23/05/1997	24/07/1995	 -	AGE	22/06/1995	   		Nominativa	Real	Permutável	1176	0	0	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	11727,04	R$	0	23/09/2003	IGP-M	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	0  000		0	0000	   	 - 	 -	 - 	0							0							0	0000	 -									SEM BANCO LIQUIDANTE/MANDATARIO	APORTE DTVM LTDA.		ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA	00635156000149	N	n	
ABC12     	PARTICIPACOES ABC S/A	 010	 001	 -	Excluído	BRPTABDBS0A8	SEP/GER/DEB - 95/055	19/07/1995			23/05/1995	23/05/2012	15/10/2003 - VENCIMENTO ANTECIPADO		23/05/1997	24/07/1995	 -	AGE	22/06/1995			Nominativa	Real	Permutável	44			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	11727,04	R$	0	23/09/2003	IGP-M	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	0  000		0	0000	   	 - 	 -	 - 	0							0							0	0000	 -									SEM BANCO LIQUIDANTE/MANDATARIO	APORTE DTVM LTDA.		ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA	00635156000149	N	n	
ABC13     	PARTICIPACOES ABC S/A	 019	 001	 -	Excluído	BRPTABDBS0J9	SEP/GER/DEB - 95/064	19/07/1995			23/05/1995	23/05/2012	15/10/2003 - VENCIMENTO ANTECIPADO		23/05/1997	24/07/1995	 -	AGE	22/06/1995			Nominativa	Real	Permutável	44			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	11727,04	R$	0	23/09/2003	IGP-M	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	0  000		0	0000	   	 - 	 -	 - 	0							0							0	0000	 -									SEM BANCO LIQUIDANTE/MANDATARIO	APORTE DTVM LTDA.		ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA	00635156000149	N	n	
ABC21     	PARTICIPACOES ABC S/A	 002	 001	 -	Excluído	BRPTABDBS029	SEP/GER/DEB - 95/047	19/07/1995			23/05/1995	23/05/2012	15/10/2003 - VENCIMENTO ANTECIPADO		23/05/1997	24/07/1995	 -	AGE	22/06/1995			Nominativa	Real	Permutável	44			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	11727,04	R$	0	23/09/2003	IGP-M	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	0  000		0	0000	   	 - 	 -	 - 	0							0							0	0000	 -									SEM BANCO LIQUIDANTE/MANDATARIO	APORTE DTVM LTDA.		ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA	00635156000149	N	n	
