Acompanhamento por Destinação de Recursos - Gerado em  20/10/2019 01:42:53

Código do Ativo	Data de Registro CVM	Emissor	Destinação de Recursos	Volume	Moeda	Situação	
ABC11     	19/07/1995	PARTICIPACOES ABC S/A	Aquisição de Bens para Arrendamento	6.895.499,52	R$	Exc.
ABC12     	19/07/1995	PARTICIPACOES ABC S/A	Aquisição de Bens para Arrendamento	103.197,95	R$	Exc.
AMRO11    	20/12/1995	SANTANDER LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	75.000.000,00	R$	Exc.
AMRO12    	07/03/1997	SANTANDER LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	200.000.000,00	R$	Exc.
AMRO13    	22/12/1998	SANTANDER LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	500.000.000,00	R$	Exc.
AMRO21    	16/07/1996	SANTANDER LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	75.000.000,00	R$	Exc.
ASAM23    	29/12/1994	AMERICA DO SUL LEASING S/A ARREND MERC	Aquisição de Bens para Arrendamento	1.500.000.000,00	R$	Exc.
ASAM33    	29/12/1994	AMERICA DO SUL LEASING S/A ARREND MERC	Aquisição de Bens para Arrendamento	2.000.000.000,00	R$	Exc.
BAM13     	26/05/1995	UNIBANCO LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	80.000.000,00	R$	Exc.
BAM14     	09/04/1997	UNIBANCO LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	200.000.000,00	R$	Exc.
BANL12    	29/12/1994	BANORTE LEASING ARREND MERCANTIL S/A	Aquisição de Bens para Arrendamento	25.000.000,00	R$	Exc.
BANL13    	24/07/1995	BANORTE LEASING ARREND MERCANTIL S/A	Aquisição de Bens para Arrendamento	25.000.000,00	R$	Exc.
BANL22    	29/12/1994	BANORTE LEASING ARREND MERCANTIL S/A	Aquisição de Bens para Arrendamento	25.000.000,00	R$	Exc.
BANL23    	24/07/1995	BANORTE LEASING ARREND MERCANTIL S/A	Aquisição de Bens para Arrendamento	25.000.000,00	R$	Exc.
BBCL11    	21/02/1995	BBC LEASING ARREND  MERCANTIL S/A	Aquisição de Bens para Arrendamento	5.000.000,00	R$	Exc.
BBCL21    	31/10/1996	BBC LEASING ARREND  MERCANTIL S/A	Aquisição de Bens para Arrendamento	5.000.000,00	R$	Exc.
BBCL31    	15/04/1997	BBC LEASING ARREND  MERCANTIL S/A	Aquisição de Bens para Arrendamento	5.000.000,00	R$	Exc.
BBL11     	30/10/1991	BB LEASING S/A ARREND MERCANTIL	Aquisição de Bens para Arrendamento	12.000.000.000,00	Cr$	Exc.
BBL21     	12/06/1995	BB LEASING S/A ARREND MERCANTIL	Aquisição de Bens para Arrendamento	62.400.000,00	R$	Exc.
BCAM13    	10/10/1991	BANCOCIDADE LEASING ARRENDAMENTO MERCANTIL S/A	Aquisição de Bens para Arrendamento	1.600.000.000,00	Cr$	Exc.
BCAM14    	26/12/1996	BANCOCIDADE LEASING ARRENDAMENTO MERCANTIL S/A	Aquisição de Bens para Arrendamento	200.000.000,00	R$	Exc.
BCAM23    	29/01/1992	BANCOCIDADE LEASING ARRENDAMENTO MERCANTIL S/A	Aquisição de Bens para Arrendamento	1.900.000.000,00	Cr$	Exc.
BCAM33    	29/01/1992	BANCOCIDADE LEASING ARRENDAMENTO MERCANTIL S/A	Aquisição de Bens para Arrendamento	2.000.000.000,00	Cr$	Exc.
BCSP11    	01/10/1997	EVEREST LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	60.000.000,00	R$	Exc.
BESC11    	19/09/1995	BESC S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	50.000.000,00	R$	Exc.
BESC12    	03/12/1996	BESC S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	60.000.000,00	R$	Exc.
BESC13    	12/02/1998	BESC S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	100.000.000,00	R$	Exc.
BFBL14    	01/12/1992	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	20.680.800.000,00	Cr$	Exc.
BFBL15    	02/12/1997	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	350,00	R$	Reg.
BFBL34    	16/11/1993	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	68.936,00	CR$	Reg.
BFBL44    	22/03/1995	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	41.361.600.000,00	R$	Exc.
BFBL54    	22/03/1995	DIBENS LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	44.808.400.000,00	R$	Exc.
BICL11    	16/11/1995	CCB BRASIL ARRENDAMENTO MERCANTIL S/A	Aquisição de Bens para Arrendamento	25.000.000,00	R$	Exc.
BICL21    	16/11/1995	CCB BRASIL ARRENDAMENTO MERCANTIL S/A	Aquisição de Bens para Arrendamento	25.000.000,00	R$	Exc.
BLAM13    	01/08/1988	BANESTADO LEASING S/A ARREND MERCANTIL	Aquisição de Bens para Arrendamento	500.000.613,30	CR$	Exc.
BLAM14    	26/03/1992	BANESTADO LEASING S/A ARREND MERCANTIL	Aquisição de Bens para Arrendamento	5.000.000.000,00	Cr$	Exc.
BLAM15    	27/04/1995	BANESTADO LEASING S/A ARREND MERCANTIL	Aquisição de Bens para Arrendamento	100.000.000,00	R$	Exc.
BLAM16    	04/08/1995	BANESTADO LEASING S/A ARREND MERCANTIL	Aquisição de Bens para Arrendamento	100.000.000,00	R$	Exc.
BLAM17    	28/03/1996	BANESTADO LEASING S/A ARREND MERCANTIL	Aquisição de Bens para Arrendamento	100.000.000,00	R$	Exc.
BLES11    	12/07/1996	BANEB LEASING S.A.ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	20.000.000,00	R$	Exc.
BLES21    	23/08/1996	BANEB LEASING S.A.ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	20.000.000,00	R$	Exc.
BMGL10    	22/12/2000	BMG LEASING S/A ARREND MERCANTIL	Aquisição de Bens para Arrendamento	70.000.000,00	R$	Exc.
BRAM14    	25/07/2006	BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	11.050,00	R$	Reg.
BRAM15    	17/01/2008	BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	8.500,00	R$	Reg.
BRLA14    	27/11/1990	BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	1.500.000.000,00	Cr$	Exc.
BRLA15    	18/09/1991	BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	29.400.000.000,00	Cr$	Exc.
BRLA16    	31/07/1992	BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	40.000.000.000,00	Cr$	Exc.
BRLA17    	30/12/1994	BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	80.000.000,00	R$	Exc.
BRLA24    	17/12/1990	BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	1.500.000.000,00	Cr$	Exc.
BRLA25    	18/09/1991	BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	8.400.000.000,00	Cr$	Exc.
BRLA26    	09/12/1992	BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	90.000.000.000,00	Cr$	Exc.
BRLA27    	30/05/1995	BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	120.000.000,00	R$	Exc.
BRLA34    	15/08/1991	BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	1.500.000.000,00	Cr$	Exc.
BRLA35    	18/09/1991	BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	4.200.000.000,00	Cr$	Exc.
BRLA36    	26/08/1993	BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	120.000.000.000,00	CR$	Exc.
BRLA46    	25/10/1993	BRADESCO LEASING S/A - ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	100.000.000.000,00	CR$	Exc.
BSAM18    	31/08/1998	SANTANDER BANESPA COMPANHIA DE ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	100.000.000,00	R$	Exc.
